Number of Vehicles,Accident Date,Time (24hr),Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
5,Jul,2200,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,MIDDLE-AGED,Bus or coach (17 or more passenger seats)
5,Jul,2200,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,MIDDLE-AGED,Bus or coach (17 or more passenger seats)
2,Aug,545,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,MIDDLE-AGED,Taxi/Private hire car
2,Aug,545,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Taxi/Private hire car
2,Aug,545,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Serious,Female,MIDDLE-AGED,Taxi/Private hire car
2,Aug,545,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Serious,Female,MIDDLE-AGED,Taxi/Private hire car
2,Aug,1702,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Aug,1702,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,SENIOR CITIZEN,Car
2,Aug,1702,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
2,Aug,1800,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,SENIOR CITIZEN,Car
2,Aug,1845,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,YOUNG,Pedal cycle
2,Aug,2100,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Pedal cycle
2,Aug,1130,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,Aug,1130,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,SENIOR CITIZEN,Car
2,Aug,1430,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
4,Aug,1647,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,YOUNG,Car
3,Aug,2045,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Goods vehicle 3.5 tonnes mgw and under
1,Aug,1037,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
2,Mar,1230,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Car
3,Aug,1705,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,YOUNG,Car
3,Aug,1705,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,SENIOR CITIZEN,Car
2,Aug,2041,Dry,Daylight: street lights present,Fine without high winds,Passenger,Serious,Male,YOUNG,M/cycle 50cc and under
3,Aug,820,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,Aug,1425,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,SENIOR CITIZEN,Car
2,Aug,1425,Dry,Daylight: street lights present,Fine without high winds,Passenger,Serious,Female,MIDDLE-AGED,Car
2,Aug,1707,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Motorcycle over 125cc and up to 500cc
2,Aug,1726,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Pedal cycle
2,Aug,1735,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Motorcycle over 500cc
2,Aug,1735,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,SENIOR CITIZEN,Motorcycle over 500cc
2,Aug,1800,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Motorcycle over 500cc
2,Aug,1115,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Motorcycle over 500cc
1,Aug,1435,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,YOUNG,Car
2,Aug,1520,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,MIDDLE-AGED,Car
1,Aug,1758,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
1,Aug,1758,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,MIDDLE-AGED,Car
2,Aug,1915,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Pedal cycle
2,Aug,2255,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,YOUNG,Pedal cycle
2,Aug,1520,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
2,Aug,1940,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,M/cycle 50cc and under
2,Aug,1940,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,SENIOR CITIZEN,Car
2,Aug,1947,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Goods vehicle 3.5 tonnes mgw and under
2,Aug,1947,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Fatal,Male,MIDDLE-AGED,Other Vehicle
2,Aug,1947,Dry,Daylight: street lights present,Fine without high winds,Passenger,Serious,Male,SENIOR CITIZEN,Other Vehicle
2,Aug,1947,Dry,Daylight: street lights present,Fine without high winds,Passenger,Serious,Male,YOUNG,Other Vehicle
2,Aug,1947,Dry,Daylight: street lights present,Fine without high winds,Passenger,Serious,Male,YOUNG,Other Vehicle
2,Aug,1947,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,YOUNG,Other Vehicle
1,Aug,1400,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
2,Aug,1720,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,MIDDLE-AGED,Pedal cycle
2,Aug,904,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Pedal cycle
2,Aug,1136,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Motorcycle over 50cc and up to 125cc
2,Aug,1211,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Motorcycle over 125cc and up to 500cc
2,Aug,1211,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Motorcycle over 125cc and up to 500cc
2,Aug,1215,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Motorcycle over 500cc
2,Aug,2025,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Pedal cycle
3,Aug,2003,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
1,Aug,2225,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,MIDDLE-AGED,Car
2,Aug,1215,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,YOUNG,Car
2,Aug,1215,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,YOUNG,Car
2,Aug,1215,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,Aug,1231,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,MIDDLE-AGED,Motorcycle over 500cc
2,Aug,1231,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,Aug,1411,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Female,SENIOR CITIZEN,Car
2,Aug,1411,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Female,SENIOR CITIZEN,Car
2,Aug,1632,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Pedal cycle
2,Aug,1827,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,YOUNG,Pedal cycle
2,Aug,709,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Goods vehicle 7.5 tonnes mgw and over
2,Aug,749,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Pedal cycle
2,Aug,730,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,YOUNG,Motorcycle over 50cc and up to 125cc
3,Aug,1545,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,Aug,1100,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Car
2,Aug,1227,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,YOUNG,Car
2,Aug,1227,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,SENIOR CITIZEN,Car
2,Aug,1232,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Car
2,Aug,1232,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,Aug,1232,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,YOUNG,Car
2,Aug,1232,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,MIDDLE-AGED,Car
2,Aug,1232,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,YOUNG,Car
2,Aug,1402,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Aug,1402,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Car
2,Aug,1402,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,YOUNG,Car
2,Aug,1645,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
3,Aug,1510,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Car
2,Aug,1629,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Pedal cycle
1,Aug,1749,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,YOUNG,M/cycle 50cc and under
1,Aug,1111,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,YOUNG,Car
2,Aug,1200,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
2,Aug,1227,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Female,MIDDLE-AGED,Pedal cycle
2,Aug,1245,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Goods vehicle 3.5 tonnes mgw and under
2,Aug,1600,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,YOUNG,Pedal cycle
1,Aug,1030,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,MIDDLE-AGED,Car
2,Aug,2054,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,YOUNG,M/cycle 50cc and under
1,Aug,1656,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,SENIOR CITIZEN,Bus or coach (17 or more passenger seats)
1,Aug,330,Dry,Darkness: no street lighting,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
1,Aug,1002,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,SENIOR CITIZEN,Car
1,Aug,1718,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,YOUNG,Car
2,Aug,1810,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Motorcycle over 50cc and up to 125cc
2,Aug,1430,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,MIDDLE-AGED,Taxi/Private hire car
2,Aug,1430,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,MIDDLE-AGED,Taxi/Private hire car
2,Aug,1959,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Aug,1959,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Car
1,Aug,1140,Wet / Damp,Daylight: street lights present,Raining without high winds,Pedestrian,Slight,Female,MIDDLE-AGED,Car
2,Aug,1221,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,Aug,1221,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Female,YOUNG,Car
2,Aug,1221,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Male,YOUNG,Car
2,Aug,1250,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Car
1,Aug,1525,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,MIDDLE-AGED,Car
1,Aug,1645,Wet / Damp,Daylight: street lights present,Raining without high winds,Pedestrian,Slight,Female,MIDDLE-AGED,Car
2,Aug,1705,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,Aug,2019,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
2,Aug,2019,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Male,SENIOR CITIZEN,Car
2,Aug,2019,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Male,MIDDLE-AGED,Car
2,Aug,2019,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Aug,2019,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Female,YOUNG,Car
1,Aug,2015,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
1,Aug,241,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Aug,2130,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Pedal cycle
2,Aug,1505,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Car
1,Aug,1825,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,YOUNG,Motorcycle over 50cc and up to 125cc
1,Aug,955,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Motorcycle over 500cc
2,Aug,1050,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Aug,1050,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,MIDDLE-AGED,Car
1,Aug,1620,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
1,Aug,1620,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,MIDDLE-AGED,Car
3,Aug,1715,Dry,Daylight: street lights present,Fine without high winds,Passenger,Serious,Female,SENIOR CITIZEN,Car
3,Aug,1715,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
1,Aug,1912,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,MIDDLE-AGED,Car
1,Aug,850,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,YOUNG,Car
2,Aug,934,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,Aug,1238,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,MIDDLE-AGED,Pedal cycle
2,Aug,1635,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Aug,1330,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,MIDDLE-AGED,Car
2,Aug,1600,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Pedal cycle
2,Aug,1628,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,MIDDLE-AGED,Minibus (8 � 16 passenger seats)
2,Aug,1628,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,SENIOR CITIZEN,Minibus (8 � 16 passenger seats)
3,Aug,1854,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Car
3,Aug,1854,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,SENIOR CITIZEN,Car
3,Aug,1854,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Car
4,Aug,1150,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
4,Aug,1150,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
4,Aug,1150,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Car
2,Aug,1157,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,SENIOR CITIZEN,Bus or coach (17 or more passenger seats)
3,Aug,1200,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Serious,Male,MIDDLE-AGED,Goods vehicle 3.5 tonnes mgw and under
3,Aug,1200,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Goods vehicle 3.5 tonnes mgw and under
2,Aug,1705,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,YOUNG,M/cycle 50cc and under
2,Aug,1725,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,SENIOR CITIZEN,Motorcycle over 50cc and up to 125cc
1,Aug,1815,Wet / Damp,Daylight: street lights present,Raining without high winds,Pedestrian,Serious,Female,SENIOR CITIZEN,Car
2,Aug,1835,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Fatal,Male,MIDDLE-AGED,Pedal cycle
2,Aug,1835,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Aug,1,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Aug,1,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Aug,930,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Aug,930,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Car
1,Aug,1325,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Motorcycle over 50cc and up to 125cc
2,Aug,1343,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,YOUNG,Pedal cycle
2,Aug,2055,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Aug,2055,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,Aug,740,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Aug,830,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,MIDDLE-AGED,Car
2,Aug,1712,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Pedal cycle
2,Aug,1740,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,SENIOR CITIZEN,Pedal cycle
1,Aug,1820,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,YOUNG,Taxi/Private hire car
1,Aug,659,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,MIDDLE-AGED,Car
1,Aug,659,Dry,Daylight: street lights present,Fine without high winds,Passenger,Serious,Female,MIDDLE-AGED,Car
2,Aug,1445,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,SENIOR CITIZEN,Car
2,Aug,1720,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
2,Aug,1720,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Aug,2136,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,MIDDLE-AGED,Bus or coach (17 or more passenger seats)
2,Aug,213,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Aug,213,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,SENIOR CITIZEN,Car
2,Aug,1130,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,MIDDLE-AGED,Motorcycle over 50cc and up to 125cc
3,Aug,810,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Taxi/Private hire car
2,Aug,1540,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,Aug,1640,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
4,Aug,1755,Flood (surface water over 3cm deep),Daylight: street lights present,Raining without high winds,Passenger,Slight,Female,SENIOR CITIZEN,Car
1,Aug,1825,Wet / Damp,Daylight: street lights present,Raining without high winds,Pedestrian,Serious,Female,YOUNG,Car
1,Aug,2100,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Pedestrian,Serious,Male,MIDDLE-AGED,Car
2,Aug,1000,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
2,Aug,1000,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,SENIOR CITIZEN,Car
2,Aug,1129,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Pedal cycle
2,Aug,1129,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,MIDDLE-AGED,Pedal cycle
1,Aug,930,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Pedestrian,Slight,Male,MIDDLE-AGED,Car
1,Aug,1700,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Motorcycle over 50cc and up to 125cc
1,Aug,1854,Flood (surface water over 3cm deep),Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
1,Aug,1854,Flood (surface water over 3cm deep),Daylight: street lights present,Raining without high winds,Passenger,Slight,Female,MIDDLE-AGED,Car
1,Aug,1854,Flood (surface water over 3cm deep),Daylight: street lights present,Raining without high winds,Passenger,Slight,Male,MIDDLE-AGED,Car
1,Aug,55,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,YOUNG,Car
1,Aug,55,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,YOUNG,Car
2,Aug,823,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Pedal cycle
2,Aug,840,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,MIDDLE-AGED,Pedal cycle
2,Aug,1730,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Car
2,Aug,1740,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,YOUNG,Pedal cycle
1,Aug,1924,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,YOUNG,Taxi/Private hire car
2,Aug,715,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Pedal cycle
2,Aug,814,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Pedal cycle
1,Aug,1130,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,MIDDLE-AGED,Bus or coach (17 or more passenger seats)
2,Aug,1230,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Pedal cycle
1,Aug,1300,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,SENIOR CITIZEN,Bus or coach (17 or more passenger seats)
2,Aug,1700,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Aug,840,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,MIDDLE-AGED,Motorcycle over 50cc and up to 125cc
2,Aug,2120,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,MIDDLE-AGED,Car
2,Aug,2120,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,MIDDLE-AGED,Car
2,Aug,1400,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Aug,845,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Pedal cycle
2,Aug,730,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Aug,1529,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Pedal cycle
1,Aug,1345,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,YOUNG,M/cycle 50cc and under
2,Aug,1810,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Pedal cycle
2,Aug,1922,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,SENIOR CITIZEN,Car
2,Aug,826,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
2,Aug,826,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,Aug,830,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,Aug,830,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
3,Aug,1618,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
3,Aug,1618,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
2,Aug,1730,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,Aug,1825,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,YOUNG,Car
2,Aug,1825,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,MIDDLE-AGED,Motorcycle over 500cc
2,Aug,1949,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Motorcycle over 50cc and up to 125cc
2,Aug,2115,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Serious,Male,MIDDLE-AGED,Pedal cycle
