Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
2,09-Aug-15,1215,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,16,Car
2,09-Aug-15,1215,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,17,Car
2,09-Aug-15,1215,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,27,Car
2,09-Aug-15,1231,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,26,Motorcycle over 500cc
2,09-Aug-15,1231,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,39,Car
2,10-Aug-15,1411,Motorway,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Female,61,Car
2,10-Aug-15,1411,Motorway,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Female,57,Car
2,10-Aug-15,1632,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,32,Pedal cycle
2,10-Aug-15,1827,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,11,Pedal cycle
2,11-Aug-15,709,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,43,Goods vehicle 7.5 tonnes mgw and over
2,11-Aug-15,749,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,27,Pedal cycle
2,11-Aug-15,730,B,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,18,Motorcycle over 50cc and up to 125cc
3,11-Aug-15,1545,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,28,Car
2,11-Aug-15,1100,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,74,Car
2,11-Aug-15,1227,B,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,18,Car
2,11-Aug-15,1227,B,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,59,Car
2,11-Aug-15,1232,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,51,Car
2,11-Aug-15,1232,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,33,Car
2,11-Aug-15,1232,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,1,Car
2,11-Aug-15,1232,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,34,Car
2,11-Aug-15,1232,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,10,Car
2,11-Aug-15,1402,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,29,Car
2,11-Aug-15,1402,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,53,Car
2,11-Aug-15,1402,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,2,Car
2,11-Aug-15,1645,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,20,Car
3,11-Aug-15,1510,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,86,Car
2,11-Aug-15,1629,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,23,Pedal cycle
1,11-Aug-15,1749,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,9,M/cycle 50cc and under
1,12-Aug-15,1111,A,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,3,Car
2,12-Aug-15,1200,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,45,Car
2,12-Aug-15,1227,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Female,32,Pedal cycle
2,12-Aug-15,1245,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,24,Goods vehicle 3.5 tonnes mgw and under
2,12-Aug-15,1600,B,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,6,Pedal cycle
1,11-Aug-15,1030,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,44,Car
2,12-Aug-15,2054,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,18,M/cycle 50cc and under
1,12-Aug-15,1656,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,60,Bus or coach (17 or more passenger seats)
1,13-Aug-15,330,A,Dry,Darkness: no street lighting,Fine without high winds,Driver/Rider,Slight,Male,66,Car
1,13-Aug-15,1002,B,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,90,Car
1,13-Aug-15,1718,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,10,Car
2,13-Aug-15,1810,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,21,Motorcycle over 50cc and up to 125cc
2,13-Aug-15,1430,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,23,Taxi/Private hire car
2,13-Aug-15,1430,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,21,Taxi/Private hire car
2,13-Aug-15,1959,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,21,Car
2,13-Aug-15,1959,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,70,Car
1,14-Aug-15,1140,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Pedestrian,Slight,Female,34,Car
2,14-Aug-15,1221,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Female,44,Car
2,14-Aug-15,1221,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Female,18,Car
2,14-Aug-15,1221,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Male,19,Car
2,14-Aug-15,1250,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Female,49,Car
1,14-Aug-15,1525,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,36,Car
1,14-Aug-15,1645,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Pedestrian,Slight,Female,24,Car
2,14-Aug-15,1705,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Female,34,Car
2,14-Aug-15,2019,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,46,Car
2,14-Aug-15,2019,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Male,75,Car
2,14-Aug-15,2019,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Male,35,Car
2,14-Aug-15,2019,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,31,Car
2,14-Aug-15,2019,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Female,3,Car
1,14-Aug-15,2015,Motorway,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Female,28,Car
1,15-Aug-15,241,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,26,Car
2,15-Aug-15,2130,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,36,Pedal cycle
2,15-Aug-15,1505,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,58,Car
1,15-Aug-15,1825,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,18,Motorcycle over 50cc and up to 125cc
1,16-Aug-15,955,B,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,61,Motorcycle over 500cc
2,16-Aug-15,1050,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,21,Car
2,16-Aug-15,1050,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,26,Car
1,16-Aug-15,1620,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,78,Car
1,16-Aug-15,1620,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,43,Car
3,16-Aug-15,1715,B,Dry,Daylight: street lights present,Fine without high winds,Passenger,Serious,Female,64,Car
3,16-Aug-15,1715,B,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,23,Car
1,16-Aug-15,1912,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,34,Car
1,17-Aug-15,850,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,10,Car
2,17-Aug-15,934,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,32,Car
2,17-Aug-15,1238,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,31,Pedal cycle
2,14-Aug-15,1635,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,41,Car
2,17-Aug-15,1330,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,28,Car
2,17-Aug-15,1600,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,48,Pedal cycle
2,17-Aug-15,1628,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,40,Minibus (8 � 16 passenger seats)
2,17-Aug-15,1628,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,68,Minibus (8 � 16 passenger seats)
3,17-Aug-15,1854,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,47,Car
3,17-Aug-15,1854,Motorway,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,58,Car
3,17-Aug-15,1854,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,51,Car
4,18-Aug-15,1150,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Female,35,Car
4,18-Aug-15,1150,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,50,Car
4,18-Aug-15,1150,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Female,68,Car
2,18-Aug-15,1157,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,50,Bus or coach (17 or more passenger seats)
3,18-Aug-15,1200,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Serious,Male,37,Goods vehicle 3.5 tonnes mgw and under
3,18-Aug-15,1200,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,26,Goods vehicle 3.5 tonnes mgw and under
2,18-Aug-15,1705,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,17,M/cycle 50cc and under
2,18-Aug-15,1725,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,49,Motorcycle over 50cc and up to 125cc
1,18-Aug-15,1815,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Pedestrian,Serious,Female,65,Car
2,18-Aug-15,1835,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Fatal,Male,41,Pedal cycle
2,18-Aug-15,1835,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,29,Car
2,19-Aug-15,1,A(M),Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver/Rider,Slight,Male,33,Car
2,19-Aug-15,1,A(M),Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver/Rider,Slight,Male,22,Car
2,19-Aug-15,930,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,34,Car
2,19-Aug-15,930,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,60,Car
1,19-Aug-15,1325,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,25,Motorcycle over 50cc and up to 125cc
2,19-Aug-15,1343,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,7,Pedal cycle
2,19-Aug-15,2055,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver/Rider,Slight,Male,40,Car
2,19-Aug-15,2055,A,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver/Rider,Slight,Female,23,Car
2,20-Aug-15,740,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,26,Car
2,20-Aug-15,830,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,36,Car
2,20-Aug-15,1712,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,23,Pedal cycle
2,20-Aug-15,1740,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,57,Pedal cycle
1,20-Aug-15,1820,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,9,Taxi/Private hire car
1,20-Aug-15,659,A(M),Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,39,Car
1,20-Aug-15,659,A(M),Dry,Daylight: street lights present,Fine without high winds,Passenger,Serious,Female,38,Car
2,21-Aug-15,1445,A,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,78,Car
2,21-Aug-15,1720,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,65,Car
2,21-Aug-15,1720,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,39,Car
2,21-Aug-15,2136,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,31,Bus or coach (17 or more passenger seats)
2,22-Aug-15,213,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,42,Car
2,22-Aug-15,213,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,47,Car
2,24-Aug-15,1130,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,20,Motorcycle over 50cc and up to 125cc
3,22-Aug-15,810,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,39,Taxi/Private hire car
2,22-Aug-15,1540,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,42,Car
2,22-Aug-15,1640,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Female,44,Car
4,22-Aug-15,1755,Motorway,Flood (surface water over 3cm deep),Daylight: street lights present,Raining without high winds,Passenger,Slight,Female,58,Car
1,22-Aug-15,1825,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Pedestrian,Serious,Female,19,Car
1,22-Aug-15,2100,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Pedestrian,Serious,Male,34,Car
2,23-Aug-15,1000,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,50,Car
2,23-Aug-15,1000,Motorway,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,46,Car
2,23-Aug-15,1129,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,33,Pedal cycle
2,23-Aug-15,1129,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,33,Pedal cycle
1,22-Aug-15,930,Unclassified,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Pedestrian,Slight,Male,35,Car
1,23-Aug-15,1700,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,21,Motorcycle over 50cc and up to 125cc
1,23-Aug-15,1854,Motorway,Flood (surface water over 3cm deep),Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,24,Car
1,23-Aug-15,1854,Motorway,Flood (surface water over 3cm deep),Daylight: street lights present,Raining without high winds,Passenger,Slight,Female,38,Car
1,23-Aug-15,1854,Motorway,Flood (surface water over 3cm deep),Daylight: street lights present,Raining without high winds,Passenger,Slight,Male,22,Car
1,24-Aug-15,55,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,17,Car
1,24-Aug-15,55,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,15,Car
2,24-Aug-15,823,B,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,24,Pedal cycle
2,24-Aug-15,840,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,28,Pedal cycle
2,24-Aug-15,1730,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,65,Car
2,24-Aug-15,1740,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,12,Pedal cycle
1,24-Aug-15,1924,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,9,Taxi/Private hire car
2,25-Aug-15,715,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,23,Pedal cycle
2,25-Aug-15,814,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,41,Pedal cycle
1,25-Aug-15,1130,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,21,Bus or coach (17 or more passenger seats)
2,25-Aug-15,1230,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,50,Pedal cycle
1,25-Aug-15,1300,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,78,Bus or coach (17 or more passenger seats)
2,25-Aug-15,1700,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,24,Car
2,25-Aug-15,840,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,40,Motorcycle over 50cc and up to 125cc
2,25-Aug-15,2120,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,23,Car
2,25-Aug-15,2120,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,34,Car
2,24-Aug-15,1400,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,26,Car
2,26-Aug-15,845,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,26,Pedal cycle
2,26-Aug-15,730,A,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,33,Car
2,26-Aug-15,1529,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,29,Pedal cycle
1,27-Aug-15,1345,B,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,18,M/cycle 50cc and under
2,27-Aug-15,1810,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,20,Pedal cycle
2,27-Aug-15,1922,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,65,Car
2,28-Aug-15,826,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,47,Car
2,28-Aug-15,826,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,26,Car
2,28-Aug-15,830,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,34,Car
2,28-Aug-15,830,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,40,Car
3,28-Aug-15,1618,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,31,Car
3,28-Aug-15,1618,Motorway,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,45,Car
2,28-Aug-15,1730,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,33,Car
2,28-Aug-15,1825,B,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,18,Car
2,28-Aug-15,1825,B,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,40,Motorcycle over 500cc
2,28-Aug-15,1949,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,23,Motorcycle over 50cc and up to 125cc
2,28-Aug-15,2115,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Serious,Male,29,Pedal cycle
1,28-Aug-15,2301,Motorway,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,33,Goods vehicle 3.5 tonnes mgw and under
2,29-Aug-15,1020,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,62,Car
2,29-Aug-15,1020,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,81,Car
2,29-Aug-15,1020,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,28,Car
2,29-Aug-15,1945,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,71,Pedal cycle
1,29-Aug-15,2340,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,21,Car
1,29-Aug-15,2340,A,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,34,Car
1,29-Aug-15,2340,A,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,21,Car
1,30-Aug-15,1233,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,30,Car
2,30-Aug-15,1328,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,57,Motorcycle over 500cc
2,30-Aug-15,1415,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,31,Car
2,30-Aug-15,1415,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,10,Car
1,30-Aug-15,1750,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,36,Motorcycle over 500cc
1,30-Aug-15,1750,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,10,Motorcycle over 500cc
2,30-Aug-15,1805,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,57,Car
2,30-Aug-15,1805,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,49,Car
2,30-Aug-15,1805,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,29,Car
4,31-Aug-15,1331,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,24,Car
2,01-Sep-15,615,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Fatal,Male,44,Motorcycle over 50cc and up to 125cc
1,01-Sep-15,913,A,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,35,Car
2,01-Sep-15,1757,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,18,Car
1,01-Sep-15,1924,B,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Pedestrian,Slight,Male,68,Car
2,01-Sep-15,2033,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Serious,Male,46,Motorcycle over 500cc
2,01-Sep-15,2055,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,22,Pedal cycle
2,01-Sep-15,1520,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,42,Minibus (8 � 16 passenger seats)
2,02-Sep-15,832,B,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,27,Pedal cycle
2,02-Sep-15,704,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,25,Pedal cycle
2,02-Sep-15,1130,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,37,Car
1,02-Sep-15,1735,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,27,Car
1,02-Sep-15,1813,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,27,Bus or coach (17 or more passenger seats)
2,02-Sep-15,1800,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,49,Pedal cycle
2,02-Sep-15,1830,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,34,Car
2,02-Sep-15,1910,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,47,Bus or coach (17 or more passenger seats)
1,02-Sep-15,1631,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,58,Car
2,03-Sep-15,1015,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,38,Car
2,03-Sep-15,1156,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,17,Motorcycle over 50cc and up to 125cc
2,03-Sep-15,1223,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,35,Car
2,03-Sep-15,1223,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,8,Car
2,03-Sep-15,1223,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,1,Car
2,03-Sep-15,1223,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,26,Car
1,04-Sep-15,1843,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,9,Car
2,03-Sep-15,1645,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,41,Pedal cycle
3,04-Sep-15,1654,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,60,Car
2,04-Sep-15,1834,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,41,Car
2,04-Sep-15,1910,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,28,Car
2,04-Sep-15,1910,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,23,Car
2,04-Sep-15,1910,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,16,Motorcycle over 50cc and up to 125cc
2,04-Sep-15,2353,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,37,Car
1,05-Sep-15,700,A(M),Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,23,Motorcycle over 500cc
2,05-Sep-15,1356,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,24,Car
2,05-Sep-15,1545,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,44,Pedal cycle
2,05-Sep-15,1505,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Serious,Female,74,Bus or coach (17 or more passenger seats)
2,05-Sep-15,1750,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,39,Car
2,05-Sep-15,2055,Motorway,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Serious,Male,34,Car
2,05-Sep-15,2200,A,Dry,Darkness: street lights present but unlit,Fine without high winds,Driver/Rider,Serious,Male,25,Car
2,05-Sep-15,2200,A,Dry,Darkness: street lights present but unlit,Fine without high winds,Passenger,Serious,Male,22,Car
2,05-Sep-15,2200,A,Dry,Darkness: street lights present but unlit,Fine without high winds,Passenger,Serious,Male,34,Car
