Number of Vehicles,Accident Date,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
5,16-Jan-15,1205,A,Snow,Daylight: street lights present,Snowing without high winds,Driver/Rider,Slight,Female,20,Car
5,16-Jan-15,1205,A,Snow,Daylight: street lights present,Snowing without high winds,Passenger,Slight,Male,23,Car
5,16-Jan-15,1205,A,Snow,Daylight: street lights present,Snowing without high winds,Driver/Rider,Slight,Male,26,Goods vehicle 3.5 tonnes mgw and under
2,23-Jan-15,2044,A,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,20,Car
2,23-Jan-15,254,Motorway,Wet / Damp,Darkness: no street lighting,Fine without high winds,Driver/Rider,Slight,Male,32,Car
2,23-Jan-15,254,Motorway,Wet / Damp,Darkness: no street lighting,Fine without high winds,Driver/Rider,Slight,Male,28,Other Vehicle
2,23-Jan-15,729,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,52,Car
2,23-Jan-15,729,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,68,Car
2,24-Jan-15,900,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Female,22,Car
2,23-Jan-15,1530,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,22,Pedal cycle
1,24-Jan-15,1018,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,79,Car
1,24-Jan-15,1130,A,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,82,Car
2,24-Jan-15,1204,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,70,Bus or coach (17 or more passenger seats)
2,24-Jan-15,1230,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,38,Car
2,24-Jan-15,1230,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,36,Car
2,24-Jan-15,1320,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,20,Car
2,24-Jan-15,1320,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,34,Car
2,24-Jan-15,2115,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,18,Car
2,24-Jan-15,2115,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,18,Car
1,24-Jan-15,15,Unclassified,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,32,Taxi/Private hire car
2,24-Jan-15,2315,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,57,Car
2,25-Jan-15,1145,A,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,30,Car
2,25-Jan-15,1145,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,65,Car
2,25-Jan-15,1145,A,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,55,Car
1,23-Jan-15,1530,Unclassified,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,37,Car
2,26-Jan-15,820,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,53,Car
4,26-Jan-15,1754,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,29,Car
4,26-Jan-15,1754,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,49,Car
1,27-Jan-15,1650,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Serious,Female,82,Bus or coach (17 or more passenger seats)
2,27-Jan-15,829,A,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,28,Pedal cycle
2,26-Jan-15,1205,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,59,Car
2,26-Jan-15,1205,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,37,Car
2,26-Jan-15,1205,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,17,Car
3,27-Jan-15,1148,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Female,28,Car
3,27-Jan-15,1148,Unclassified,Wet / Damp,Daylight: street lights present,Raining without high winds,Passenger,Slight,Female,2,Car
2,27-Jan-15,1317,Unclassified,Wet / Damp,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,33,Car
1,23-Jan-15,2350,Unclassified,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,22,Taxi/Private hire car
